API14,Well Name,Well Number,County,DI Play,Production Type,Spud Date,Year,Operator Company Name,DI Lateral Length
42461407680000,NORTH BROOK NE34,20H,UPTON (TX),MIDLAND,OIL,4/21/2018,2018,PIONEER NATURAL RESOURCES,6702
42461407180000,HALFF 1F,106H,UPTON (TX),MIDLAND,OIL,4/10/2018,2018,PIONEER NATURAL RESOURCES,9822
42461406480000,SEBASTIAN *19-30A,4101H,UPTON (TX),MIDLAND,OIL,9/26/2017,2017,PIONEER NATURAL RESOURCES,7717
42461406310000,MILLER 3748 A,1HM,UPTON (TX),MIDLAND,OIL,7/25/2017,2017,APACHE,10378
42461406250000,POWELL 26E,6HL,UPTON (TX),MIDLAND,OIL,7/23/2017,2017,OVINTIV INC.,7754
42461406150000,GRACE '45-1',4302H,UPTON (TX),MIDLAND,OIL,8/1/2017,2017,PIONEER NATURAL RESOURCES,5718
42461406070000,DAVIDSON UNIT 1,0103BH,UPTON (TX),MIDLAND,OIL,9/19/2017,2017,EXXON MOBIL,10338
42461406060000,DAVIDSON UNIT 1,0113AH,UPTON (TX),MIDLAND,OIL,9/28/2017,2017,EXXON MOBIL,10233
42461406040000,DAVIDSON UNIT 1,0104BH,UPTON (TX),MIDLAND,OIL,7/7/2017,2017,EXXON MOBIL,10333
42461405520000,XBC GIDDINGS ESTATE,2203H,UPTON (TX),MIDLAND,OIL,4/15/2017,2017,PIONEER NATURAL RESOURCES,9508
42461405460000,BROOK A-5G,7H,UPTON (TX),MIDLAND,OIL,3/28/2017,2017,PIONEER NATURAL RESOURCES,9842
42461405410000,NEAL RANCH 42B UNIT,4231AH,UPTON (TX),MIDLAND,OIL,4/7/2017,2017,CONOCOPHILLIPS,10462
42461405200000,CC 4144 EAST B,5HM,UPTON (TX),MIDLAND,OIL,3/28/2017,2017,APACHE,7772
42461405170000,HUGH '27-34',4301H,UPTON (TX),MIDLAND,OIL,1/29/2017,2017,PIONEER NATURAL RESOURCES,5112
42461403890000,VANESSA P1 UNIT,5201BC,UPTON (TX),MIDLAND,OIL,10/10/2017,2017,CONOCOPHILLIPS,10303
42461401150000,BROOK A-5D,4H,UPTON (TX),MIDLAND,OIL,3/13/2017,2017,PIONEER NATURAL RESOURCES,9767
42461400170000,XBC GIDDINGS ESTATE,4078H,UPTON (TX),MIDLAND,OIL,10/5/2015,2015,PIONEER NATURAL RESOURCES,12002
42461398150000,"UNIVERSITY ""3-14""",52H,UPTON (TX),MIDLAND,OIL,12/13/2014,2014,PIONEER NATURAL RESOURCES,7861
42461397980000,ATKINS 23,1HB,UPTON (TX),MIDLAND,OIL,11/4/2014,2014,PIONEER NATURAL RESOURCES,4529
42461397540000,LHS RANCH,1705BH,UPTON (TX),MIDLAND,OIL,2/27/2016,2016,EXXON MOBIL,9479
42461396180000,XBC GIDDINGS ESTATE,3101H,UPTON (TX),MIDLAND,OIL,12/9/2014,2014,PIONEER NATURAL RESOURCES,6362
42461396150000,XBC GIDDINGS ESTATE,4098H,UPTON (TX),MIDLAND,OIL,10/8/2014,2014,PIONEER NATURAL RESOURCES,7502
42461395990000,PEMBROOK D-29,1H,UPTON (TX),MIDLAND,OIL,1/20/2015,2015,PIONEER NATURAL RESOURCES,9864
42461395830000,PEGASUS FIELD UNIT 3,4610H,UPTON (TX),MIDLAND,OIL,1/4/2015,2015,CONOCOPHILLIPS,9780
42461394610000,NEAL RANCH '77' A UNIT,28H,UPTON (TX),MIDLAND,OIL,7/3/2014,2014,CONOCOPHILLIPS,5054
